method,endpoint,tenantFilter,hasPrismaCall,risk,file,line,note
GET,/api/analysis/compliance/checklists,no,false,MEDIUM,backend/src/routes/analysisRoutes.ts,835,no explicit tenant marker in handler
GET,/api/analysis/compliance/templates,no,false,MEDIUM,backend/src/routes/analysisRoutes.ts,831,no explicit tenant marker in handler
POST,/api/analysis/financial-report,no,false,MEDIUM,backend/src/routes/analysisRoutes.ts,1499,no explicit tenant marker in handler
GET,/api/currency/rates,no,false,MEDIUM,backend/src/routes/currencyRoutes.ts,48,no explicit tenant marker in handler
GET,/api/cyber-scenarios,no,false,MEDIUM,backend/src/routes/cyberScenarioRoutes.ts,8,no explicit tenant marker in handler
GET,/api/cyber-scenarios/:id,no,false,MEDIUM,backend/src/routes/cyberScenarioRoutes.ts,13,no explicit tenant marker in handler
POST,/api/discovery/run,no,false,MEDIUM,backend/src/routes/discoveryRoutes.ts,265,no explicit tenant marker in handler
POST,/api/discovery/scan,no,false,MEDIUM,backend/src/routes/discoveryRoutes.ts,275,no explicit tenant marker in handler
GET,/api/financial/benchmarks,no,false,MEDIUM,backend/src/routes/financialRoutes.ts,987,no explicit tenant marker in handler
GET,/api/financial/benchmarks/vertical/:sector,no,false,MEDIUM,backend/src/routes/financialRoutes.ts,1000,no explicit tenant marker in handler
GET,/api/knowledge-base,no,false,MEDIUM,backend/src/routes/knowledgeBaseRoutes.ts,6,no explicit tenant marker in handler
GET,/api/knowledge-base/article/:slug,no,false,MEDIUM,backend/src/routes/knowledgeBaseRoutes.ts,32,no explicit tenant marker in handler
GET,/api/knowledge-base/categories,no,false,MEDIUM,backend/src/routes/knowledgeBaseRoutes.ts,24,no explicit tenant marker in handler
GET,/api/knowledge-base/term/:term,no,false,MEDIUM,backend/src/routes/knowledgeBaseRoutes.ts,47,no explicit tenant marker in handler
GET,/api/license/features,no,false,MEDIUM,backend/src/routes/licenseRoutes.ts,162,no explicit tenant marker in handler
GET,/api/license/plans,no,false,MEDIUM,backend/src/routes/licenseRoutes.ts,146,no explicit tenant marker in handler
POST,/api/pricing/aws/products,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,81,no explicit tenant marker in handler
POST,/api/pricing/azure/retail,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,133,no explicit tenant marker in handler
POST,/api/pricing/estimate,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,58,no explicit tenant marker in handler
POST,/api/pricing/gcp/skus,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,173,no explicit tenant marker in handler
POST,/api/pricing/normalize,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,42,no explicit tenant marker in handler
GET,/api/pricing/providers,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,38,no explicit tenant marker in handler
POST,/api/pricing/scenario-estimates,no,false,MEDIUM,backend/src/routes/pricingRoutes.ts,211,no explicit tenant marker in handler
GET,/api/resilience/graph/enums,no,false,MEDIUM,backend/src/routes/resilienceGraphRoutes.ts,248,no explicit tenant marker in handler
GET,/api/roi/compliance,no,false,MEDIUM,backend/src/routes/roiRoutes.ts,56,no explicit tenant marker in handler
GET,/api/roi/compliance/coverage,no,false,MEDIUM,backend/src/routes/roiRoutes.ts,68,no explicit tenant marker in handler
GET,/api/roi/compliance/tags,no,false,MEDIUM,backend/src/routes/roiRoutes.ts,61,no explicit tenant marker in handler
GET,/api/roi/market-data,no,false,MEDIUM,backend/src/routes/roiRoutes.ts,42,no explicit tenant marker in handler
GET,/api/roi/recovery-strategies,no,false,MEDIUM,backend/src/routes/roiRoutes.ts,51,no explicit tenant marker in handler
GET,/api/analysis/basic,yes,true,LOW,backend/src/routes/analysisRoutes.ts,1408,tenant marker found in handler
GET,/api/analysis/compliance-report,yes,false,LOW,backend/src/routes/analysisRoutes.ts,816,tenant marker found in handler
